-149.78,61.21
-149.84,61.14
-149.85,61.11
-149.89,61.13
-149.86,61.14
-149.87,61.19
-149.82,61.22
-149.98,61.18
-149.88,61.18
-149.74,61.21
-149.74,61.2
-149.84,61.14
-149.74,61.23
-149.92,61.14
-149.84,61.18
-149.75,61.23
-149.96,61.14
-149.89,61.22
-149.88,61.13
-149.95,61.15
-149.98,61.17
-149.92,61.19
-149.74,61.23
-149.89,61.22
-149.57,61.32
-149.57,61.33
-149.55,61.35
-147.81,64.84
-147.7,64.85
-147.82,64.84
-147.87,64.82
-147.69,64.85
-149.68,61.26
-147.65,64.83
-151.54,59.64
-134.55,58.36
-134.56,58.36
-131.67,55.35
-152.37,57.81
-147.35,64.76
-149.13,61.6
-149.12,61.6
-149.43,60.13
-151.05,60.49
-151.07,60.48
-149.41,61.58
-149.44,61.58
-149.41,61.58
-149.41,61.58
-86.81,33.23
-86.8,33.22
-86.83,33.21
-86.95,34.78
-85.46,32.61
-85.48,32.61
-85.49,32.6
-86.93,33.33
-86.71,33.43
-86.72,33.53
-86.8,33.51
-86.75,33.56
-86.83,33.45
-86.67,33.42
-86.78,33.46
-86.81,33.5
-86.81,33.5
-86.8,33.51
-86.75,33.56
-86.79,33.51
-86.81,33.4
-86.81,33.37
-86.8,33.5
-86.64,33.6
-86.84,34.15
-87.91,30.65
-86.96,34.59
-87,34.56
-85.45,31.27
-87.68,34.8
-87.64,34.84
-87.68,30.38
-86.81,33.61
-86.08,33.99
-86.82,33.65
-87.68,30.3
-86.77,33.47
-86.85,33.36
-86.7,33.42
-86.83,33.4
-86.81,33.38
-86.81,33.38
-86.59,34.77
-86.55,34.68
-86.57,34.69
-86.58,34.72
-86.71,34.75
-86.68,34.74
-86.6,34.74
-86.74,34.75
-86.75,34.71
-86.76,34.75
-88.18,30.7
-88.12,30.68
-88.12,30.67
-88.12,30.65
-88.23,30.67
-88.07,30.68
-88.23,30.68
-88.19,30.66
-88.14,30.68
-88.13,30.7
-86.18,32.38
-86.16,32.36
-86.22,32.36
-86.26,32.35
-86.17,32.36
-86.18,32.34
-86.77,33.48
-85.41,32.62
-85.37,32.64
-85.4,32.62
-87.59,30.27
-85.78,33.61
-85.83,33.61
-86.39,32.46
-86.43,32.47
-87.85,30.67
-86.65,33.6
-87.55,33.21
-87.53,33.2
-87.51,33.2
-87.55,33.21
-86.74,33.46
-86.79,33.45
-93.06,34.13
-92.53,34.61
-92.62,34.61
-94.21,36.36
-94.2,36.34
-94.25,36.36
-92.53,34.6
-92.42,35.09
-92.45,35.08
-92.39,35.08
-92.44,35.11
-94.18,36.07
-94.19,36.06
-94.21,36.08
-94.15,36.12
-94.36,35.36
-94.39,35.34
-94.35,35.35
-93.06,34.46
-92.11,34.89
-90.67,35.82
-90.68,35.84
-90.71,35.82
-90.67,35.82
-92.41,34.66
-92.27,34.75
-92.4,34.75
-92.34,34.75
-92.38,34.76
-92.36,34.77
-92.22,34.73
-92.22,34.73
-92.34,34.75
-92.45,34.76
-92.34,34.75
-92.28,34.74
-92.34,34.77
-92.41,34.75
-92.42,34.8
-92.4,34.77
